break_date,horizon,pre_effect,interaction,interaction_lower_90,interaction_upper_90,interaction_p_value,post_effect,nobs
2021-06-30,0,-0.051019058101769786,0.45336457450088863,0.19465054832485257,0.7120786006769246,0.003943320879292347,0.40234551639911886,239
2021-06-30,1,-0.0648872196442172,0.43593561804114994,0.14851660222760527,0.7233546338546946,0.012595262581112503,0.3710483983969327,238
2021-07-31,0,-0.05076577273057335,0.4531026140040364,0.19377648672524472,0.7124287412828281,0.0040505907681098255,0.40233684127346303,239
2021-07-31,1,-0.061663860740973735,0.43371440703393904,0.14592029862350153,0.7215085154443766,0.01317274289431977,0.3720505462929653,238
2021-08-31,0,-0.04096174538717546,0.4452592675650561,0.18369931973055292,0.7068192153995594,0.005105200546586241,0.4042975221778807,239
2021-08-31,1,-0.05913332665388008,0.42948268277840784,0.1418881724828982,0.7170771930739175,0.014026644394396453,0.37034935612452774,238
2021-09-30,0,-0.040465554998020146,0.4453784576082522,0.18249489474527508,0.7082620204712293,0.0053204053891847645,0.40491290261023205,239
2021-09-30,1,-0.05852578764687144,0.4269896278812603,0.1393169235938962,0.7146623321686245,0.014620048674024201,0.3684638402343889,238
2021-10-31,0,-0.03246169522368988,0.44467275783301285,0.1910644014727247,0.698281114193301,0.003922646870545266,0.412211062609323,239
2021-10-31,1,-0.06285722994029261,0.4435065758220932,0.15846289349215187,0.7285502581520344,0.010482390084433713,0.38064934588180055,238
2021-11-30,0,-0.031191798353797012,0.4492293359051258,0.20637071112163796,0.6920879606886137,0.0023434946524578688,0.4180375375513288,239
2021-11-30,1,-0.0752269118458527,0.4668429280683959,0.19331888711313333,0.7403669690236585,0.004990622092236284,0.39161601622254316,238
2021-12-31,0,-0.054775927314534116,0.5024482020924891,0.2862206525120734,0.7186757516729048,0.00013211171412596731,0.44767227477795496,239
2021-12-31,1,-0.08109695363244909,0.4998122384511311,0.23872289410114794,0.7609015828011143,0.0016378556696719849,0.41871528481868203,238
2022-01-31,0,-0.06727012988125614,0.5160583263999873,0.3042484373481395,0.727868215451835,6.12572615388093e-05,0.44878819651873114,239
2022-01-31,1,-0.09845459549824719,0.5187559842803466,0.26225282443600484,0.7752591441246884,0.0008782619761967545,0.42030138878209944,238
2022-02-28,0,-0.07404128046094456,0.519295865735922,0.30834341726347303,0.730248314208371,5.133782567516332e-05,0.44525458527497747,239
2022-02-28,1,-0.11124417687910032,0.5253149873107403,0.2734207505198057,0.777209224101675,0.0006022939028641848,0.41407081043164,238
2022-03-31,0,-0.07932366391679886,0.5215115208568332,0.3123073329801561,0.7307157087335102,4.118781138958858e-05,0.4421878569400343,239
2022-03-31,1,-0.1126511073992747,0.5240192924172972,0.272545683779559,0.7754929010550353,0.0006083999874061365,0.41136818501802247,238
2022-04-30,0,-0.07045085469499826,0.5131875676322263,0.29636458533865173,0.7300105499258008,9.882085702256658e-05,0.44273671293722805,239
2022-04-30,1,-0.1318372994184489,0.5481408593816363,0.2873405670980805,0.8089411516651921,0.0005454085453413818,0.41630355996318735,238
2022-05-31,0,-0.10988821922707641,0.6151621417414269,0.4183236752667184,0.8120006082161355,2.733157726519767e-07,0.5052739225143505,239
2022-05-31,1,0.03685434379663484,0.35090901249527,0.1201745161945934,0.5816435087959466,0.012357314007212607,0.38776335629190484,238
2022-06-30,0,0.07924874206949226,0.40768326258572773,0.1854109237255772,0.6299556014458783,0.0025512572093797587,0.48693200465522,239
2022-06-30,1,0.3526700593535876,-0.1717225080752236,-0.5993807664373461,0.2559357502868989,0.5089101485422622,0.18094755127836398,238
