break_date,horizon,pre_effect,interaction,interaction_lower_90,interaction_upper_90,interaction_p_value,post_effect,nobs
2022-01-31,0,-0.06727012988125614,0.5160583263999873,0.3042484373481395,0.727868215451835,6.12572615388093e-05,0.44878819651873114,239
2022-01-31,1,-0.09845459549824719,0.5187559842803466,0.26225282443600484,0.7752591441246884,0.0008782619761967545,0.42030138878209944,238
2022-01-31,2,-0.1254844755553142,0.3999325892451643,0.16938126551918278,0.6304839129711458,0.00432340901013777,0.2744481136898501,237
2022-01-31,3,-0.1231770547910362,0.3500444289802556,0.17295984537065676,0.5271290125898545,0.001147235410807596,0.22686737418921943,236
2022-01-31,4,-0.18966781893057447,0.32787517928074755,0.16554771385743597,0.49020264470405917,0.0008917199947927436,0.1382073603501731,235
2022-01-31,5,-0.05754658665862563,0.0765427712856052,-0.057310888928304396,0.2103964314995148,0.3468711779054664,0.01899618462697957,234
2022-01-31,6,0.1376376557821388,-0.25892207338322304,-0.5280272527871076,0.010183106020661525,0.113477958845125,-0.12128441760108424,233
2022-01-31,7,0.37383156193986267,-0.4710798835886162,-0.8177101419981656,-0.12444962517906683,0.025378021900626123,-0.09724832164875352,232
2022-01-31,8,0.4611315511860449,-0.515651993391232,-0.8503783951798536,-0.18092559160261046,0.01127198749638984,-0.05452044220518715,231
2022-01-31,9,0.38976463687271157,-0.39441418408588924,-0.6785148854001911,-0.11031348277158737,0.022386981919156935,-0.004649547213177674,230
2022-01-31,10,0.2801578774933653,-0.2795519312189487,-0.43234171973384516,-0.1267621427040523,0.002614410529760621,0.0006059462744165689,229
2022-01-31,11,0.2484955300663311,-0.14900440018695882,-0.300319832126825,0.0023110317529073388,0.10525891390726888,0.09949112987937228,228
2022-01-31,12,0.09580574660008627,0.01431486666947533,-0.12036977272150572,0.14899950606045637,0.86120714619022,0.1101206132695616,227
