horizon,coefficient,lower_90,upper_90,stderr,nobs,regime,impulse,response
0,-0.04895612709617672,-0.1372128240153052,0.039300569822951756,0.053651487488831896,189,pre_2022,fx_dep,inflation_mom
1,-0.03877722467242463,-0.11192338812783008,0.03436893878298082,0.044465752860428844,188,pre_2022,fx_dep,inflation_mom
2,-0.0720683234621732,-0.1712133372044946,0.02707669028014821,0.06027052507132001,187,pre_2022,fx_dep,inflation_mom
3,-0.0844058541110225,-0.20621512820639215,0.037403419984347167,0.07404819093943445,186,pre_2022,fx_dep,inflation_mom
4,-0.15659051178492153,-0.2559581275561071,-0.057222896013735994,0.06040584545360823,185,pre_2022,fx_dep,inflation_mom
5,-0.016184349588737747,-0.10802567571338473,0.07565697653590922,0.05583059338884314,184,pre_2022,fx_dep,inflation_mom
6,-0.07878683713210553,-0.22480543614052606,0.06723176187631498,0.08876510578019484,183,pre_2022,fx_dep,inflation_mom
7,0.0791669612484209,-0.017909205996905125,0.17624312849374693,0.05901286762633801,182,pre_2022,fx_dep,inflation_mom
8,0.12974210771224598,-0.005971058201391488,0.26545527362588345,0.08250040481072186,181,pre_2022,fx_dep,inflation_mom
9,0.08415837915854764,-0.12342325250709858,0.2917400108241939,0.12618944174203417,180,pre_2022,fx_dep,inflation_mom
10,0.12257228403871336,-0.01195032550097043,0.25709489357839715,0.08177666233415427,179,pre_2022,fx_dep,inflation_mom
11,0.07874790713592163,-0.043449965657864284,0.20094577992970752,0.07428442115123764,178,pre_2022,fx_dep,inflation_mom
12,0.014704011624575863,-0.1375711086523789,0.1669791319015306,0.09256846217444058,177,pre_2022,fx_dep,inflation_mom
0,0.5121369313620314,0.40683624610098146,0.6174376166230814,0.06401257462677809,46,post_2022,fx_dep,inflation_mom
1,0.4276815834053292,0.26738152187255454,0.5879816449381039,0.09744684591658033,45,post_2022,fx_dep,inflation_mom
2,0.08215088386695087,-0.05330989027696144,0.21761165801086318,0.08234697516347253,44,post_2022,fx_dep,inflation_mom
3,0.01555525269547512,-0.1736903612199556,0.20480086661090582,0.1150429263923591,43,post_2022,fx_dep,inflation_mom
4,0.20370668102178846,0.04842722628968993,0.358986135753887,0.09439480530826658,42,post_2022,fx_dep,inflation_mom
5,0.052074288355223895,-0.055280009165802495,0.15942858587625028,0.06526097113740206,41,post_2022,fx_dep,inflation_mom
6,-0.07126025253702872,-0.14939151020124458,0.006871005127187121,0.04749620526700051,40,post_2022,fx_dep,inflation_mom
7,-0.023114844470634974,-0.11141124666833291,0.06518155772706297,0.05367562443629054,39,post_2022,fx_dep,inflation_mom
8,0.03419314093828416,-0.061763099929577965,0.1301493818061463,0.058332061317849314,38,post_2022,fx_dep,inflation_mom
9,0.07124293500634524,-0.005685545877985143,0.14817141589067562,0.04676503397223731,37,post_2022,fx_dep,inflation_mom
10,0.004698234110435434,-0.055036545854953156,0.06443301407582402,0.036312936149172394,36,post_2022,fx_dep,inflation_mom
11,0.14233996418905837,0.09929043102480675,0.18538949735330998,0.02616992897522894,35,post_2022,fx_dep,inflation_mom
12,0.11212330826254352,0.02548831880562019,0.19875829771946685,0.05266564708627558,34,post_2022,fx_dep,inflation_mom
