check,regime,coefficient,lower_90,upper_90,nobs
baseline_fx_to_inflation_h0,pre_2022,-0.04895612709617672,-0.1372128240153052,0.039300569822951756,189
baseline_fx_to_inflation_h0,post_2022,0.4944499140054622,0.3974334718203779,0.5914663561905464,48
alt_response_cpi_inf_h0,pre_2022,-0.0027226673897475795,-0.0770745155896157,0.07162918081012054,189
alt_response_cpi_inf_h0,post_2022,0.25399024774693557,-0.09663145913634091,0.604611954630212,48
truncated_sample_fx_to_inflation_h0,pre_2022,-0.04895612709617672,-0.1372128240153052,0.039300569822951756,189
truncated_sample_fx_to_inflation_h0,post_2022,0.5121369313620314,0.40683624610098146,0.6174376166230814,46
alt_gpr_to_oil,pre_2022,-5.4671977428608995,10.252974135056402,0.5938740836775385,191
alt_gpr_to_oil,post_2022,-0.030041044522499397,4.040380566779157,0.9940676220037541,50
