horizon,coefficient,lower_90,upper_90,stderr,nobs,regime,impulse,response
0,-0.04895612709617672,-0.1372128240153052,0.039300569822951756,0.053651487488831896,189,pre_2022,fx_dep,inflation_mom
1,-0.03877722467242463,-0.11192338812783008,0.03436893878298082,0.044465752860428844,188,pre_2022,fx_dep,inflation_mom
2,-0.0720683234621732,-0.1712133372044946,0.02707669028014821,0.06027052507132001,187,pre_2022,fx_dep,inflation_mom
3,-0.0844058541110225,-0.20621512820639215,0.037403419984347167,0.07404819093943445,186,pre_2022,fx_dep,inflation_mom
4,-0.15659051178492153,-0.2559581275561071,-0.057222896013735994,0.06040584545360823,185,pre_2022,fx_dep,inflation_mom
5,-0.016184349588737747,-0.10802567571338473,0.07565697653590922,0.05583059338884314,184,pre_2022,fx_dep,inflation_mom
6,-0.07878683713210553,-0.22480543614052606,0.06723176187631498,0.08876510578019484,183,pre_2022,fx_dep,inflation_mom
7,0.0791669612484209,-0.017909205996905125,0.17624312849374693,0.05901286762633801,182,pre_2022,fx_dep,inflation_mom
8,0.12974210771224598,-0.005971058201391488,0.26545527362588345,0.08250040481072186,181,pre_2022,fx_dep,inflation_mom
9,0.08415837915854764,-0.12342325250709858,0.2917400108241939,0.12618944174203417,180,pre_2022,fx_dep,inflation_mom
10,0.12257228403871336,-0.01195032550097043,0.25709489357839715,0.08177666233415427,179,pre_2022,fx_dep,inflation_mom
11,0.07874790713592163,-0.043449965657864284,0.20094577992970752,0.07428442115123764,178,pre_2022,fx_dep,inflation_mom
12,0.014704011624575863,-0.1375711086523789,0.1669791319015306,0.09256846217444058,177,pre_2022,fx_dep,inflation_mom
0,0.4944499140054622,0.3974334718203779,0.5914663561905464,0.05897656059883541,48,post_2022,fx_dep,inflation_mom
1,0.4375757315335586,0.27891133344124186,0.5962401296258754,0.0964525216366667,47,post_2022,fx_dep,inflation_mom
2,0.10676824192670714,-0.026944085006727403,0.24048056886014169,0.0812840893212368,46,post_2022,fx_dep,inflation_mom
3,0.025551074447503035,-0.15978343820218874,0.21088558709719482,0.11266535723385518,45,post_2022,fx_dep,inflation_mom
4,0.20724344602577177,0.05237805629282491,0.36210883575871866,0.09414309406258169,44,post_2022,fx_dep,inflation_mom
5,0.06654517540060967,-0.04999168333405293,0.18308203413527227,0.07084307521863988,43,post_2022,fx_dep,inflation_mom
6,-0.050254788551768535,-0.14378208666046818,0.043272509556931106,0.056855500370030176,42,post_2022,fx_dep,inflation_mom
7,0.023977149729301785,-0.05273093200327873,0.10068523146188231,0.04663105272497296,41,post_2022,fx_dep,inflation_mom
8,0.05725507709723615,-0.04745489896609845,0.16196505316057075,0.0636534808895651,40,post_2022,fx_dep,inflation_mom
9,0.07576478111737865,0.0071821096422598485,0.14434745259249745,0.04169159360189593,39,post_2022,fx_dep,inflation_mom
10,0.011982461190259799,-0.04794541065595306,0.07191033303647265,0.03643031723174034,38,post_2022,fx_dep,inflation_mom
11,0.12835929708546634,0.09466615415667752,0.16205244001425517,0.020482153756102624,37,post_2022,fx_dep,inflation_mom
12,0.1120662430583089,0.04526913238567991,0.17886335373093787,0.04060614630554954,36,post_2022,fx_dep,inflation_mom
