regime,variable,mean,std,median,nobs
pre_2022,GPR_ME,0.21526629054499538,0.08984995174772865,0.1919034980237484,191
pre_2022,oil_shock,0.10511591454185841,14.281827405369977,1.2866510593250169,191
pre_2022,fx_dep,0.05126342842859952,0.8996707278401996,0.04351474907817732,191
pre_2022,inflation_mom,0.3304217484926502,0.5969541691556298,0.29585820397448614,191
pre_2022,CPI_Inf,4.0656020942408375,2.659742672316809,3.81,191
post_2022,GPR_ME,0.4485167805105448,0.2909039315592452,0.4122388791292906,50
post_2022,oil_shock,-0.15948132913074886,7.907348851441594,0.857103960980865,50
post_2022,fx_dep,1.2965688055515268,2.4602528793332055,0.5023682923060768,50
post_2022,inflation_mom,1.5313609324227002,1.7473635759909842,1.377180080519702,50
post_2022,CPI_Inf,20.869,11.806053661627347,24.33,50
