variable,adf_stat,p_value,stationary_5pct,nobs
USDLAK,-1.3627460095295887,0.6000001862877982,0,242
CPI,-0.15542987397739866,0.9436299126500308,0,242
CPI_Inf,-2.786299537351478,0.06025758826910917,0,242
GPR_ME,-3.9753264256995244,0.0015453651732419932,1,242
GPR_ME_alt,-2.1586634157081286,0.2215886920124543,0,242
oil_shock,-11.456361736780133,5.693856462192412e-21,1,241
fx_dep,-2.209171127840955,0.20293372114785418,0,241
inflation_mom,-2.331797379660624,0.16191763117707347,0,241
