model_name,test_r2,test_rmse,n_train,n_test,group_overlap_count,r2_gain_vs_no_interaction,rmse_reduction_vs_no_interaction
no_interaction,0.30397391759821646,20.67735628136808,2208,552,0,0.0,0.0
interaction_aware,0.33335664387588404,20.23620318456068,2208,552,0,0.02938272627766758,0.4411530968074011
