model_name,model_type,term,coefficient,std_error,p_value,fit_metric_name,fit_metric_value,n_obs
binary_top_quartile,Logit,Key = 1,0.11483303360222219,0.034626258173784216,0.0009119924754621474,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 2,0.01665243574806004,0.03401953243664449,0.6244903631424945,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 3,0.20190791789657497,0.04971488009539578,4.8796533091266976e-05,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 4,0.03203984477052517,0.03688294316448127,0.3850166995727887,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 5,0.10299255454681135,0.036052032316025454,0.004279687225264318,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 6,0.15012690228144737,0.0378837810829961,7.406719487279788e-05,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 7,-0.08450299876439421,0.03345424634890393,0.011539331234934586,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 8,0.2237080049624862,0.03854132271054962,6.460938867420715e-09,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 9,-0.056197987517883165,0.034892326534096824,0.10726439358930452,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 10,0.0838756246529374,0.03869204051384897,0.030175836357036568,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Key = 11,0.09920224173495248,0.03670726071074918,0.006881528000177148,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Mode = 1,-0.10669205381201247,0.01705464118120965,3.952412270165232e-10,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Time signature = 1,0.5559535851938929,0.27372195785885606,0.042245993967311095,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Time signature = 3,0.6259749181893984,0.25989243161085196,0.016014174885825495,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Time signature = 4,0.8276816702809079,0.25909151199050734,0.0014004737409670797,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Time signature = 5,0.5288783363600171,0.26657913604642014,0.04726197483112335,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Duration (z),-0.16968979209089902,0.011350795723765562,1.5670069666143495e-50,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Explicit,0.4608084537355935,0.028559399451956638,1.4459886216182175e-58,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Dance orientation (z),0.15353626182038654,0.009961411333965093,1.3363714056227356e-53,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Sonic intensity (z),-0.17599489895831738,0.01655344934902658,2.1171532711081502e-26,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Loudness (z),0.029159484375513967,0.01592717247602538,0.06713024092454713,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Speechiness (z),-0.2204228487887127,0.011175592347027356,1.3526586524910803e-86,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Acousticness (z),-0.16188530591883768,0.012446872500444493,1.1295722319434481e-38,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Instrumentalness (z),-0.27148247630877387,0.009852609156928939,3.922328204719474e-167,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Liveness (z),-0.1715150740771374,0.009561858286356441,6.018467492653953e-72,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Positive affect (z),-0.2641520450332436,0.010050723852361235,3.0891013558976475e-152,mcfadden_pseudo_r2,0.03786469970144313,89741
binary_top_quartile,Logit,Tempo (z),-0.006080264531524315,0.008615105614844656,0.48033252113117997,mcfadden_pseudo_r2,0.03786469970144313,89741
log_duration_spec,OLS,Key = 1,0.1447292670036202,0.3028816629352325,0.6327633998297828,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 2,0.9361321712058088,0.28167733999721256,0.0008892084904084655,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 3,0.7561537968947567,0.4492824315111268,0.09237015166908505,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 4,0.9586417142279685,0.3080303267467289,0.0018571961835122128,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 5,0.1814320074479639,0.31381265837027894,0.5631602300670073,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 6,0.6579386097143263,0.33470363857942936,0.049329245940334776,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 7,-0.05969290688096991,0.27415808154083837,0.8276381582519594,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 8,0.9424503039094219,0.35005698917628714,0.007096602326031039,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 9,0.07046291411700971,0.289096345181376,0.8074360205876876,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 10,0.09748399373567239,0.3359778839497309,0.7717014613468329,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Key = 11,0.722711921101108,0.3187541959816671,0.02337180348369554,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Mode = 1,-0.6748035322068541,0.14747542295898033,4.746266056120223e-06,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Time signature = 1,-12.111175648717808,1.2124334528997902,1.7003910712723922e-23,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Time signature = 3,-11.909711967786386,1.0463964321492976,5.1617224970371674e-30,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Time signature = 4,-9.157487518276822,1.034868229709526,8.83539621625087e-19,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Time signature = 5,-12.00337582564338,1.1318407821360827,2.819190043290797e-26,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Log duration (z),0.12908527814295528,0.06366917595222336,0.042617684970394074,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Explicit,4.037625079395678,0.2825490845283332,2.526266317978329e-46,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Dance orientation (z),1.5494875357565987,0.08398154289205108,5.1823584421553986e-76,adj_r2,0.035414068333884496,89741
log_duration_spec,OLS,Sonic intensity (z),-0.6683824853824533,0.13602418118535572,8.937190870924889e-07,adj_r2,0.035414068333884496,89741
