variable,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
popularity,1.0,-0.03784821365057967,0.08268793676773781,0.014720245384613103,0.08143720172726436,-0.04791166183875006,-0.04064702910084646,-0.1495274684599638,-0.0206056045650205,0.011263207970019205,0.0027839790357216208
duration_ms,-0.03784821365057967,1.0,-0.054354220796870134,0.06628322283332862,0.002877747918830044,-0.05821836967556496,-0.11185078303417131,0.11278356112693656,0.0042224898100972925,-0.13934109314797044,0.02705431322092785
danceability,0.08268793676773781,-0.054354220796870134,1.0,0.15309282414664163,0.28688496899027544,0.11021877800837573,-0.1827927589111267,-0.20605343638161325,-0.13307654022724827,0.5094295929547218,0.004059114035106713
energy,0.014720245384613103,0.06628322283332862,0.15309282414664163,1.0,0.7559149142520479,0.14104022755378243,-0.7297929557491052,-0.18031261214752245,0.19165490902877136,0.25422260442312333,0.26831886175313757
loudness,0.08143720172726436,0.002877747918830044,0.28688496899027544,0.7559149142520479,1.0,0.051991376346478,-0.5756966570278986,-0.4345946476962527,0.0763409697118995,0.29946530065333493,0.242870213405289
speechiness,-0.04791166183875006,-0.05821836967556496,0.11021877800837573,0.14104022755378243,0.051991376346478,1.0,0.011752824689959545,-0.11008173619734023,0.24440852406530364,0.029907209099919996,-0.004306966646268819
acousticness,-0.04064702910084646,-0.11185078303417131,-0.1827927589111267,-0.7297929557491052,-0.5756966570278986,0.011752824689959545,1.0,0.08813280694440581,-0.016676603454019872,-0.10061542012342914,-0.22991087151194345
instrumentalness,-0.1495274684599638,0.11278356112693656,-0.20605343638161325,-0.18031261214752245,-0.4345946476962527,-0.11008173619734023,0.08813280694440581,1.0,-0.09255589539886204,-0.3373543462308791,-0.06145619538508882
liveness,-0.0206056045650205,0.0042224898100972925,-0.13307654022724827,0.19165490902877136,0.0763409697118995,0.24440852406530364,-0.016676603454019872,-0.09255589539886204,1.0,0.004257278590606158,-0.011908653930660719
valence,0.011263207970019205,-0.13934109314797044,0.5094295929547218,0.25422260442312333,0.29946530065333493,0.029907209099919996,-0.10061542012342914,-0.3373543462308791,0.004257278590606158,1.0,0.10324268346377893
tempo,0.0027839790357216208,0.02705431322092785,0.004059114035106713,0.26831886175313757,0.242870213405289,-0.004306966646268819,-0.22991087151194345,-0.06145619538508882,-0.011908653930660719,0.10324268346377893,1.0
