min_count,selected_genres,n_genres,sample_size,no_interaction_adj_r2,interaction_adj_r2,adj_r2_gain,wald_test_type,wald_statistic,wald_df,wald_p_value
250,pop | rock | hip-hop | jazz | electronic,5,2374,0.29180261288379294,0.31615432389987086,0.024351711016077915,Wald chi-square,76.26722005353872,12,2.1151004556059488e-11
300,pop | rock-n-roll | hip-hop | jazz | electronic,5,2760,0.3140040759103193,0.33795997380358456,0.023955897893265243,Wald chi-square,83.04980634453698,12,1.0777362018234884e-12
350,pop | rock-n-roll | hip-hop | jazz | electronic,5,2760,0.3140040759103193,0.33795997380358456,0.023955897893265243,Wald chi-square,83.04980634453698,12,1.0777362018234884e-12
400,pop | rock-n-roll | hip-hop | jazz | electronic,5,2760,0.3140040759103193,0.33795997380358456,0.023955897893265243,Wald chi-square,83.04980634453698,12,1.0777362018234884e-12
