model_name,test_rmse,test_mae,test_r2,train_adj_r2,n_train,n_test,group_overlap_count
genre_only,21.788519070735767,15.837517824153466,0.22715763922191745,0.2599301256579689,2208,552,0
genre_plus_pooled_audio,20.67735628136808,14.969801359513394,0.30397391759821646,0.31371604868124014,2208,552,0
genre_conditioned_audio,20.23620318456068,14.236379407297981,0.33335664387588404,0.3351855803313011,2208,552,0
