Date,Saudi Arabia,Israel,Turkey,South Africa,Egypt
2006-01-31,0.1138811931014061,0.458602637052536,0.0584795325994491,0.052323792129755,0.1631271094083786
2006-02-28,0.1623841822147369,0.2961123287677765,0.0700480788946151,0.0509440563619136,0.1432801634073257
2006-03-31,0.126255378127098,0.3357245326042175,0.086083211004734,0.0373027250170707,0.1061692982912063
2006-04-30,0.1034126132726669,0.3635110259056091,0.1065463349223136,0.0282034408301115,0.1660869270563125
2006-05-31,0.0688313618302345,0.2453987747430801,0.0987580418586731,0.041897352784872,0.1197067201137542
2006-06-30,0.1148417890071868,0.4291456341743469,0.1087974831461906,0.0604430474340915,0.1783069968223571
2006-07-31,0.2668021917343139,1.731037974357605,0.184220552444458,0.0412908159196376,0.3747935593128204
2006-08-31,0.1323135495185852,1.7297576665878296,0.1710394620895385,0.0290444381535053,0.2323555052280426
2006-09-30,0.1487327367067337,0.622249186038971,0.1517681032419204,0.0516011528670787,0.1365912854671478
2006-10-31,0.1339485049247741,0.3512427508831024,0.059532668441534,0.0714391991496086,0.1785980015993118
2006-11-30,0.0971610769629478,0.4554425477981567,0.0910885110497474,0.0455442555248737,0.1366327553987503
2006-12-31,0.2080488950014114,0.516871452331543,0.1137767359614372,0.0455106943845748,0.191795065999031
2007-01-31,0.1605929583311081,0.3829524517059326,0.0710315033793449,0.0648548454046249,0.1451513320207595
2007-02-28,0.2376237660646438,0.3135313391685486,0.1056105643510818,0.0231023095548152,0.1386138647794723
2007-03-31,0.187937319278717,0.3093737363815307,0.1011970192193985,0.0896316394209861,0.1243277639150619
2007-04-30,0.1121722981333732,0.2243445962667465,0.1153772175312042,0.0416639968752861,0.1506313681602478
2007-05-31,0.1265412122011184,0.3569110929965973,0.1297858506441116,0.0551589876413345,0.1687216162681579
2007-06-30,0.1204590126872062,0.4406263828277588,0.1616686731576919,0.069739431142807,0.1680086255073547
2007-07-31,0.1747968792915344,0.2686692774295807,0.1618489623069763,0.0323697924613952,0.1747968792915344
2007-08-31,0.1364776045083999,0.1650426834821701,0.0983908325433731,0.0222172848880291,0.1047386303544044
2007-09-30,0.1438938975334167,0.3816316425800323,0.1376376450061798,0.0437937937676906,0.1001001000404357
2007-10-31,0.1086987629532814,0.3775851726531982,0.5148888826370239,0.0772333294153213,0.0915357992053031
2007-11-30,0.1887414306402206,0.233679860830307,0.2516552209854126,0.026963060721755,0.086880974471569
2007-12-31,0.1555461883544922,0.4407142102718353,0.1587867438793182,0.0291649121791124,0.1036974638700485
2008-01-31,0.1463581770658493,0.4421885311603546,0.040482047945261,0.040482047945261,0.2273222655057907
2008-02-29,0.0635707676410675,0.3019611537456512,0.1938908547163009,0.0794634595513343,0.1398556977510452
2008-03-31,0.099089615046978,0.4180343151092529,0.1610206216573715,0.049544807523489,0.1424413174390792
2008-04-30,0.0760070905089378,0.3166962265968323,0.0475044324994087,0.1108436807990074,0.0981758311390876
2008-05-31,0.2045489251613617,0.4671042561531067,0.0915890708565712,0.0580064095556736,0.1770721971988678
2008-06-30,0.1043841317296028,0.4860386252403259,0.1043841317296028,0.1043841317296028,0.1989822536706924
2008-07-31,0.0660523772239685,0.4953928589820862,0.2410911917686462,0.1453152298927307,0.0891707092523574
2008-08-31,0.0633988454937934,0.1901965290307998,0.1701758503913879,0.0467149391770362,0.0400413759052753
2008-09-30,0.0488185882568359,0.2278200834989547,0.0911280363798141,0.0650914534926414,0.0520731620490551
2008-10-31,0.0937207117676734,0.1749453246593475,0.1187129020690918,0.0406123101711273,0.0718525424599647
2008-11-30,0.155426412820816,0.3311258256435394,0.0844708755612373,0.0439248532056808,0.1047438830137252
2008-12-31,0.1305044889450073,0.5332040786743164,0.1118609905242919,0.0298295989632606,0.2162645906209945
2009-01-31,0.2107882052659988,1.2267183065414429,0.169321671128273,0.0241888109594583,0.670375645160675
2009-02-28,0.0864921808242797,0.3910950720310211,0.0752105861902237,0.0188026465475559,0.2030685991048813
2009-03-31,0.0832697227597236,0.360835462808609,0.0693914368748664,0.0451044328510761,0.1422524452209472
2009-04-30,0.0975997671484947,0.2747252881526947,0.1120589971542358,0.0361480638384819,0.079525738954544
2009-05-31,0.1186708882451057,0.3488204777240753,0.0791139230132103,0.0323647856712341,0.1510356664657592
2009-06-30,0.12408347427845,0.3722504377365112,0.0526414737105369,0.0263207368552684,0.1917653679847717
